contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration
GOOG260320C00395000,2026-02-06 20:35:33+00:00,395.0,0.57,0.56,0.6,-0.76000005,-57.14286,483.0,437,0.33228206787109377,False,REGULAR,USD,call,2026-03-20
GOOG260320C00400000,2026-02-06 20:54:14+00:00,400.0,0.47,0.46,0.5,-0.6999999,-59.829056,6022.0,10824,0.33777517700195314,False,REGULAR,USD,call,2026-03-20
GOOG260320C00405000,2026-02-06 20:12:03+00:00,405.0,0.37,0.38,0.42,-0.48000002,-56.470592,234.0,614,0.3435124243164062,False,REGULAR,USD,call,2026-03-20
GOOG260320C00410000,2026-02-06 20:47:29+00:00,410.0,0.34,0.32,0.35,-0.39000002,-53.424656,135.0,3302,0.34839518798828123,False,REGULAR,USD,call,2026-03-20
GOOG260320C00415000,2026-02-06 16:52:50+00:00,415.0,0.23,0.26,0.3,-0.39,-62.903225,11.0,125,0.3544986425781249,False,REGULAR,USD,call,2026-03-20
GOOG260320C00420000,2026-02-06 20:00:40+00:00,420.0,0.23,0.22,0.26,-0.14999999,-39.473682,3.0,662,0.3610903735351562,False,REGULAR,USD,call,2026-03-20
GOOG260320C00425000,2026-02-06 20:21:49+00:00,425.0,0.21,0.19,0.23,-0.21,-50.0,207.0,281,0.36817038085937503,False,REGULAR,USD,call,2026-03-20
GOOG260320C00430000,2026-02-06 20:15:10+00:00,430.0,0.18,0.16,0.2,-0.120000005,-40.0,3.0,297,0.3745179736328125,False,REGULAR,USD,call,2026-03-20
GOOG260320C00435000,2026-02-04 19:48:26+00:00,435.0,0.75,0.14,0.18,0.0,0.0,1.0,54,0.38184211914062494,False,REGULAR,USD,call,2026-03-20
GOOG260320C00440000,2026-02-06 15:35:45+00:00,440.0,0.13,0.12,0.16,-0.050000012,-27.777782,12.0,254,0.38867798828125,False,REGULAR,USD,call,2026-03-20
GOOG260320C00445000,2026-02-06 18:03:07+00:00,445.0,0.09,0.1,0.14,-0.43999997,-83.01887,30.0,38,0.3940490283203125,False,REGULAR,USD,call,2026-03-20
GOOG260320C00450000,2026-02-06 16:43:42+00:00,450.0,0.08,0.09,0.12,-0.120000005,-60.000004,1.0,532,0.398443515625,False,REGULAR,USD,call,2026-03-20
GOOG260320C00460000,2026-02-06 15:23:56+00:00,460.0,0.07,0.08,0.1,-0.04,-36.363636,3.0,339,0.41211525390625,False,REGULAR,USD,call,2026-03-20
GOOG260320C00470000,2026-02-04 20:58:45+00:00,470.0,0.26,0.04,0.08,0.0,0.0,60.0,421,0.42383388671875,False,REGULAR,USD,call,2026-03-20
GOOG260320C00480000,2026-02-06 15:55:51+00:00,480.0,0.04,0.04,0.07,0.0,0.0,2.0,160,0.43848217773437503,False,REGULAR,USD,call,2026-03-20
GOOG260320C00490000,2026-02-06 18:35:48+00:00,490.0,0.03,0.03,0.06,-0.04,-57.142853,4.0,813,0.45117736328125,False,REGULAR,USD,call,2026-03-20
GOOG260320P00075000,2026-01-27 14:30:28+00:00,75.0,0.01,0.0,0.01,0.0,0.0,1.0,326,1.2500037499999999,False,REGULAR,USD,put,2026-03-20
