contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration
AAPL260206P00230000,2026-02-06 16:50:10+00:00,230.0,0.01,0.0,0.02,0.0,0.0,1.0,1814.0,1.2656286718749998,False,REGULAR,USD,put,2026-02-06
AAPL260206P00232500,2026-02-06 16:35:00+00:00,232.5,0.02,0.0,0.02,-0.02,-50.0,3.0,1209.0,1.1875040625,False,REGULAR,USD,put,2026-02-06
AAPL260206P00235000,2026-02-06 16:29:06+00:00,235.0,0.01,0.0,0.01,0.0,0.0,65.0,1639.0,1.0625046875000002,False,REGULAR,USD,put,2026-02-06
AAPL260206P00237500,2026-02-06 15:33:19+00:00,237.5,0.02,0.0,0.03,0.0,0.0,43.0,2166.0,1.109379453125,False,REGULAR,USD,put,2026-02-06
AAPL260206P00240000,2026-02-06 16:20:40+00:00,240.0,0.01,0.0,0.02,-0.01,-50.0,183.0,4193.0,1.000005,False,REGULAR,USD,put,2026-02-06
AAPL260206P00242500,2026-02-06 14:35:35+00:00,242.5,0.01,0.0,0.01,-0.01,-50.0,1.0,2088.0,0.87500125,False,REGULAR,USD,put,2026-02-06
AAPL260206P00245000,2026-02-06 15:37:58+00:00,245.0,0.01,0.0,0.01,-0.01,-50.0,155.0,4839.0,0.8125018749999999,False,REGULAR,USD,put,2026-02-06
AAPL260206P00247500,2026-02-06 15:51:24+00:00,247.5,0.01,0.0,0.02,-0.01,-50.0,58.0,1993.0,0.8125018749999999,False,REGULAR,USD,put,2026-02-06
AAPL260206P00250000,2026-02-06 17:05:09+00:00,250.0,0.01,0.0,0.02,-0.01,-50.0,313.0,4341.0,0.7500025,False,REGULAR,USD,put,2026-02-06
AAPL260206P00252500,2026-02-06 16:49:13+00:00,252.5,0.01,0.01,0.02,-0.03,-75.0,466.0,2461.0,0.710940390625,False,REGULAR,USD,put,2026-02-06
AAPL260206P00255000,2026-02-06 16:48:24+00:00,255.0,0.01,0.01,0.02,-0.03,-75.0,243.0,4468.0,0.648441015625,False,REGULAR,USD,put,2026-02-06
AAPL260206P00257500,2026-02-06 17:07:55+00:00,257.5,0.01,0.01,0.02,-0.02,-66.66667,454.0,3272.0,0.585941640625,False,REGULAR,USD,put,2026-02-06
AAPL260206P00260000,2026-02-06 16:32:31+00:00,260.0,0.01,0.0,0.02,-0.04,-80.00001,1321.0,11691.0,0.5351608984375,False,REGULAR,USD,put,2026-02-06
AAPL260206P00262500,2026-02-06 16:37:21+00:00,262.5,0.01,0.0,0.01,-0.049999997,-83.333336,861.0,5851.0,0.42969320312500003,False,REGULAR,USD,put,2026-02-06
AAPL260206P00265000,2026-02-06 17:04:02+00:00,265.0,0.01,0.0,0.01,-0.09,-90.0,2075.0,8220.0,0.367193828125,False,REGULAR,USD,put,2026-02-06
AAPL260206P00267500,2026-02-06 17:00:42+00:00,267.5,0.01,0.01,0.02,-0.17,-94.44444,8614.0,9023.0,0.3320379296875,False,REGULAR,USD,put,2026-02-06
AAPL260206P00270000,2026-02-06 17:09:30+00:00,270.0,0.01,0.01,0.02,-0.35000002,-97.22223,13087.0,13467.0,0.2617261328125,False,REGULAR,USD,put,2026-02-06
AAPL260206P00272500,2026-02-06 17:08:56+00:00,272.5,0.04,0.03,0.04,-0.72999996,-96.05263,11264.0,5515.0,0.21289849609375,False,REGULAR,USD,put,2026-02-06
AAPL260206P00275000,2026-02-06 17:10:17+00:00,275.0,0.08,0.08,0.09,-1.43,-94.70199,29111.0,7068.0,0.15821154296875,False,REGULAR,USD,put,2026-02-06
AAPL260206P00277500,2026-02-06 17:10:45+00:00,277.5,0.29,0.29,0.3,-2.3400002,-88.97339,36882.0,2896.0,0.0971769970703125,False,REGULAR,USD,put,2026-02-06
AAPL260206P00280000,2026-02-06 17:10:05+00:00,280.0,1.14,1.17,1.21,-3.3600001,-74.666664,28973.0,1161.0,1.0000000000000003e-05,True,REGULAR,USD,put,2026-02-06
AAPL260206P00282500,2026-02-06 17:03:27+00:00,282.5,3.25,3.1,3.5,-2.65,-44.915253,1885.0,330.0,1.0000000000000003e-05,True,REGULAR,USD,put,2026-02-06
AAPL260206P00285000,2026-02-06 16:56:37+00:00,285.0,5.9,5.6,5.95,-3.1799998,-35.022022,77.0,100.0,1.0000000000000003e-05,True,REGULAR,USD,put,2026-02-06
AAPL260206P00290000,2026-02-06 16:47:00+00:00,290.0,10.69,10.45,11.2,-2.71,-20.22388,67.0,13.0,1.0000000000000003e-05,True,REGULAR,USD,put,2026-02-06
AAPL260206P00295000,2026-02-06 17:10:01+00:00,295.0,15.68,15.5,15.85,-2.4699993,-13.608812,138.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,put,2026-02-06
AAPL260206P00300000,2026-02-06 16:09:32+00:00,300.0,20.46,20.35,21.35,-4.290001,-17.333338,68.0,,1.0000000000000003e-05,True,REGULAR,USD,put,2026-02-06
AAPL260206P00305000,2026-02-04 14:53:52+00:00,305.0,27.85,24.9,26.35,0.0,0.0,36.0,,1.0000000000000003e-05,True,REGULAR,USD,put,2026-02-06
AAPL260206P00330000,2026-01-29 17:50:05+00:00,330.0,73.1,50.4,51.35,0.0,0.0,,,1.0000000000000003e-05,True,REGULAR,USD,put,2026-02-06
